"artifact_id"	"artifact_category"	"artifact"	"panel_or_sheet"	"final_filename"	"current_final_artifact_path"	"manuscript_source_path"	"workflow_output_path"	"final_assembly_or_export_source"	"source_component_or_original_output"	"generating_script"	"line_start"	"line_end"	"function_or_section"	"export_call"	"key_objects"	"input_files"	"intermediate_files"	"evidence_for_match"	"confidence"	"source_override_or_correction"	"notes"
"FIG3F"	"main_figure"	"Figure_3"	"F"	"Figure_3.pdf"	"Figures_Exported/Final_Feb2026/Figure_3.pdf"	"Figures_Exported/Final_Feb2026/Figure_3.pdf"	"reproducible_workflow/outputs/main_figures/Figure_3.pdf"	"PowerPoint slide 4 in Revision 1 prep/cfWGS_MRD_MM_Figures_Revision1_slim.pptx (5 embedded image assets)"	"Output_tables_2025/detection_progression_updated6/1yr_maintenance/KM_cfWGS of BM-Derived Mutations (cVAF Model)_One-Year Maintenance_updated_no_CI.png"	"Scripts_2025/Final_Scripts/4_1_Survival_Analysis.R"	342	689	"One-year maintenance Kaplan-Meier/PFS plot for BM-derived cfWGS model"	"ggsave(..., 'KM_cfWGS of BM-Derived Mutations (cVAF Model)_One-Year Maintenance_updated_no_CI.png')"	"survfit objects; one-year maintenance cohort; cfWGS BM-derived calls; first sample per patient; 30.44 days/month; no-CI KM/risk-table settings"	"Exported_data_tables_clinical/Censor_dates_per_patient_for_PFS_updated.rds; Output_tables_2025/all_patients_with_BM_and_blood_calls_updated6.rds; Output_EasyM_MRD_analysis_2025/EasyM_all_samples_with_optimized_calls.csv"	"KM no-CI PNG; Figure_3F_BM_cVAF_model_one_year_maintenance_KM_source_data.csv; Supplementary_Table_9_timewindow_results_test_cohort.xlsx"	"Kaplan-Meier labels, one-year maintenance wording, and output filename match Figure 3F."	"confirmed"	""	"Generated mode rebuilds the one-year-maintenance survival table from cached censor dates and cached cfWGS/clinical-call inputs, then redraws the final no-CI Kaplan-Meier panel with the original first-sample-per-patient, log-rank p-value, risk table, color, and label settings. No model rescoring, threshold recomputation, or training-model refitting is performed."
"FIG4A"	"main_figure"	"Figure_4"	"A"	"Figure_4.pdf"	"Figures_Exported/Final_Feb2026/Figure_4.pdf"	"Figures_Exported/Final_Feb2026/Figure_4.pdf"	"reproducible_workflow/outputs/main_figures/Figure_4.pdf"	"PowerPoint slide 5 in Revision 1 prep/cfWGS_MRD_MM_Figures_Revision1_slim.pptx (4 embedded image assets)"	"Figure4A_Blood_all_models_compact_updated_ROC.png"	"Scripts_2025/Final_Scripts/6_17_Generate_Compact_All_Model_Grouped_CV_ROC_Panels.R"	182	240	"Compact all-model mean outer-fold ROC panel"	"save_panel(..., 'Figure4A_Blood_all_models_compact_updated_ROC')"	"figure_4a; blood mean ROC curves; panel_statistics"	"Completed 50-repeat combined patient-grouped repeated nested-CV output from 6_13"	"Figure4A_Blood_all_models_compact_updated_ROC.png; compact_all_model_mean_roc_source_data.csv; compact_all_model_panel_statistics.csv"	"Current main-panel generator reads the completed grouped nested-CV result and writes the compact ROC panel."	"confirmed"	""	"Uses 50 repeated outer five-fold splits and five repeated inner five-fold splits. The plotting script does not refit models."
"FIG4B"	"main_figure"	"Figure_4"	"B"	"Figure_4.pdf"	"Figures_Exported/Final_Feb2026/Figure_4.pdf"	"Figures_Exported/Final_Feb2026/Figure_4.pdf"	"reproducible_workflow/outputs/main_figures/Figure_4.pdf"	"PowerPoint slide 5 in Revision 1 prep/cfWGS_MRD_MM_Figures_Revision1_slim.pptx (4 embedded image assets)"	"Fig5C_confusion_tables_primary_blood6.png; Fig5C_confusion_tables_test_blood6.png"	"Scripts_2025/Final_Scripts/3_1_Optimize_cfWGS_thresholds.R"	4278	4432	"cfDNA-derived/blood model confusion matrices"	"ggsave(..., 'Fig5C_confusion_tables_primary_blood6.png'); ggsave(..., 'Fig5C_confusion_tables_test_blood6.png')"	"nested_blood_validation_updated5.rds; cached blood/cfDNA caret models and thresholds; reconstructed train_blood/hold_blood; cm_df; p_tables"	"Final_aggregate_table_cfWGS_features_with_clinical_and_demographics_updated9.rds; cohort_assignment_table_updated.rds; baseline_high_quality_patients_updated.csv"	"blood model confusion-matrix PNGs; nested_blood_validation_updated5.rds; Figure_4B_blood_train_confusion_source_data.csv; Figure_4B_blood_test_confusion_source_data.csv"	"Visual layout and train/test confusion-matrix labels match Figure 4B."	"confirmed"	""	"Generated mode attempts to rebuild these panels by applying cached caret models and thresholds to reconstructed blood/cfDNA training/test feature inputs. Training reconstruction is checked against cached outer-prediction row counts and truth distributions. If the current reconstruction does not exactly match the frozen model/prediction inputs, the retained manuscript component is copied and marked requires_cached_intermediate rather than refitting models, recomputing thresholds, or silently changing values."
"FIG4C"	"main_figure"	"Figure_4"	"C"	"Figure_4.pdf"	"Figures_Exported/Final_Feb2026/Figure_4.pdf"	"Figures_Exported/Final_Feb2026/Figure_4.pdf"	"reproducible_workflow/outputs/main_figures/Figure_4.pdf"	"PowerPoint slide 5 in Revision 1 prep/cfWGS_MRD_MM_Figures_Revision1_slim.pptx (4 embedded image assets)"	"Output_figures_2025/Fig_5I_Blood_positivity_by_tech_facet_updated6.png"	"Scripts_2025/Final_Scripts/3_2_Plot_optimal_cutoff_and_clinical_concordance.R"	1020	1090	"Blood/cfDNA MRD positivity by technology"	"ggsave(..., 'Fig_5I_Blood_positivity_by_tech_facet_updated6.png')"	"all_patients_with_BM_and_blood_calls_updated6.rds; EasyM_all_samples_with_optimized_calls.csv; blood cfWGS calls; MFC; clonoSEQ; EasyM status"	"Output_tables_2025/all_patients_with_BM_and_blood_calls_updated6.rds; Output_EasyM_MRD_analysis_2025/EasyM_all_samples_with_optimized_calls.csv"	"blood positivity-by-technology PNG; Figure_4C_blood_positivity_by_technology_source_data.csv"	"PPT extracted component for Figure 4C exactly matches Output_figures_2025/Fig_5I_Blood_positivity_by_tech_facet_updated6.png; older Final Tables and Figures copies are lower-resolution stale exports."	"confirmed"	""	"Generated mode rebuilds the source-data table from cached cfWGS/clinical calls plus EasyM reference-threshold CSV, then redraws the panel using the original fixed cfWGS screening threshold of 0.380. No model rescoring or threshold optimization is performed."
"FIG4D"	"main_figure"	"Figure_4"	"D"	"Figure_4.pdf"	"Figures_Exported/Final_Feb2026/Figure_4.pdf"	"Figures_Exported/Final_Feb2026/Figure_4.pdf"	"reproducible_workflow/outputs/main_figures/Figure_4.pdf"	"PowerPoint slide 5 in Revision 1 prep/cfWGS_MRD_MM_Figures_Revision1_slim.pptx (4 embedded image assets)"	"Fig5K_cfWGS_vs_MFC_clonoSEQ_EasyM_Blood_muts_updated5.png"	"Scripts_2025/Final_Scripts/3_2_Plot_optimal_cutoff_and_clinical_concordance.R"	3642	3870	"Blood/cfDNA cfWGS comparison to MFC, clonoSEQ, and EasyM"	"ggsave(..., 'Fig5K_cfWGS_vs_MFC_clonoSEQ_EasyM_Blood_muts_updated5.png')"	"Fig5K_cfWGS_vs_clinical_assays_EasyM_blood_source_data.csv; EasyM reference-threshold guide lines; deterministic Spearman labels; fixed cfWGS threshold and clonoSEQ/MFC LOD"	"exported blood/cfDNA point-level cfWGS-vs-clinical-assay/EasyM source data with EasyM reference-threshold guide lines"	"Fig5K_cfWGS_vs_MFC_clonoSEQ_EasyM_Blood_muts_updated5.png; Fig5K_cfWGS_vs_clinical_assays_EasyM_blood_source_data.csv; Fig5K_cfWGS_vs_clinical_assays_EasyM_blood_correlations.csv; Supplementary_Table_8_model_comparisons_to_clinical_metrics.xlsx"	"Filename, assay labels, and table 8 comparison mapping support this source."	"confirmed"	""	"Generated mode redraws this panel from the exported point-level source-data CSV; Spearman labels are recomputed deterministically from exported points. No model rescoring, call recomputation, or threshold recomputation is performed. Section also contributes to Supplementary Table 8."
"FIG4E"	"main_figure"	"Figure_4"	"E"	"Figure_4.pdf"	"Figures_Exported/Final_Feb2026/Figure_4.pdf"	"Figures_Exported/Final_Feb2026/Figure_4.pdf"	"reproducible_workflow/outputs/main_figures/Figure_4.pdf"	"PowerPoint slide 5 in Revision 1 prep/cfWGS_MRD_MM_Figures_Revision1_slim.pptx (4 embedded image assets)"	"Output_tables_2025/detection_progression_updated6/1yr_maintenance/KM_cfWGS of cfDNA-Derived Mutations (Sites Model)_One-Year Maintenance_updated_no_CI.png"	"Scripts_2025/Final_Scripts/4_1_Survival_Analysis.R"	342	689	"One-year maintenance Kaplan-Meier/PFS plot for cfDNA-derived model"	"ggsave(..., 'KM_cfWGS of cfDNA-Derived Mutations (Sites Model)_One-Year Maintenance_updated_no_CI.png')"	"survfit objects; one-year maintenance cohort; cfDNA-derived calls; first sample per patient; 30.44 days/month; no-CI KM/risk-table settings"	"Exported_data_tables_clinical/Censor_dates_per_patient_for_PFS_updated.rds; Output_tables_2025/all_patients_with_BM_and_blood_calls_updated6.rds; Output_EasyM_MRD_analysis_2025/EasyM_all_samples_with_optimized_calls.csv"	"KM no-CI PNG; Figure_4E_blood_sites_model_one_year_maintenance_KM_source_data.csv; Supplementary_Table_9_timewindow_results_test_cohort.xlsx"	"Kaplan-Meier labels, one-year maintenance wording, and output filename match Figure 4E."	"confirmed"	""	"Generated mode rebuilds the one-year-maintenance survival table from cached censor dates and cached cfWGS/clinical-call inputs, then redraws the final no-CI Kaplan-Meier panel with the original first-sample-per-patient, log-rank p-value, risk table, color, and label settings. No model rescoring, threshold recomputation, or training-model refitting is performed."
"EDFIG1"	"extended_data_figure"	"Extended_Data_Figure_1"	"all"	"Extended_Data_Figure_1.pdf"	"Figures_Exported/Final_Feb2026/Extended_Data_Figure_1.pdf"	"Figures_Exported/Final_Feb2026/Extended_Data_Figure_1.pdf"	"reproducible_workflow/outputs/extended_figures/Extended_Data_Figure_1.pdf"	"PowerPoint slide 7 in Revision 1 prep/cfWGS_MRD_MM_Figures_Revision1_slim.pptx (2 embedded image assets)"	"Final Tables and Figures/Figure_1B_overlay_heatmap_BM_vs_cfDNA_updated_with_FISH_15.png"	"Scripts_2025/Final_Scripts/2_2_Baseline_demographics_by_WGS_heatmap_updated.R"	1217	1316	"Baseline genomic landscape oncoprint/heatmap"	"ggsave(..., 'Figure_1B_overlay_heatmap_BM_vs_cfDNA_updated_with_FISH_15.png')"	"feature-detection heatmap matrix; FISH and WGS feature annotations"	"integrated WGS feature table; clinical/FISH metadata"	"feature heatmap PNG; Supplementary_Table_1A_MM_disease_associated_features_catalog.csv"	"PDF text and visual layout match the baseline genomic landscape heatmap export."	"confirmed"	""	"The final extended-data PDF appears externally assembled from this component."
"EDFIG2A"	"extended_data_figure"	"Extended_Data_Figure_2"	"A"	"Extended_Data_Figure_2.pdf"	"Figures_Exported/Final_Feb2026/Extended_Data_Figure_2.pdf"	"Figures_Exported/Final_Feb2026/Extended_Data_Figure_2.pdf"	"reproducible_workflow/outputs/extended_figures/Extended_Data_Figure_2.pdf"	"PowerPoint slide 8 in Revision 1 prep/cfWGS_MRD_MM_Figures_Revision1_slim.pptx (6 embedded image assets)"	"Figure2B_boxplot_with_bracket_tumor_fraction.png"	"Scripts_2025/Final_Scripts/2_3_Feature_Concordance_And_Mutation_Counts.R"	1268	1280	"Baseline tumor-fraction comparison"	"ggsave(..., 'Figure2B_boxplot_with_bracket_tumor_fraction.png')"	"tumor fraction by sample type/cohort; Extended_Data_Figure_2A_tumor_fraction_by_cohort_source_data.csv"	"Final_aggregate_table_cfWGS_features_with_clinical_and_demographics_updated9.rds; cohort_assignment_table_updated.rds"	"tumor-fraction boxplot PNG; Extended_Data_Figure_2A_tumor_fraction_by_cohort_source_data.csv"	"Tumor-fraction labels and baseline concordance context match ED Figure 2."	"confirmed"	""	"Panel lettering within the assembled PDF should be cross-checked visually if final panel order changes. Generate mode redraws this panel from the current aggregate baseline table after preserving the original duplicate baseline handling for CA-02, CA-03, and SPORE_0009, Frontline-to-training cohort recode, Wilcoxon bracket, 5% dashed tumor-fraction line, colors, labels, and export dimensions. No model fitting, threshold selection, or training-weight update is performed."
"EDFIG2B_D_B"	"extended_data_figure"	"Extended_Data_Figure_2"	"B"	"Extended_Data_Figure_2.pdf"	"Figures_Exported/Final_Feb2026/Extended_Data_Figure_2.pdf"	"Figures_Exported/Final_Feb2026/Extended_Data_Figure_2.pdf"	"reproducible_workflow/outputs/extended_figures/Extended_Data_Figure_2.pdf"	"PowerPoint slide 8 in Revision 1 prep/cfWGS_MRD_MM_Figures_Revision1_slim.pptx (6 embedded image assets)"	"Final Tables and Figures/Baseline_concordance/Fig2C_BM_cfDNA_conc_sens_spec_byTF_updated6.png"	"Scripts_2025/Final_Scripts/2_3_Feature_Concordance_And_Mutation_Counts.R"	2118	2196	"BM/cfDNA concordance/sensitivity/specificity panel"	"ggsave(..., 'Fig2C_BM_cfDNA_conc_sens_spec_byTF_updated6.png')"	"BM/cfDNA concordance, sensitivity, and specificity summaries; Extended_Data_Figure_2B_BM_cfDNA_performance_byTF_plot_source_data.csv"	"Final Tables and Figures/Baseline_concordance/BM_cfDNA_performance_byTF.rds"	"Fig2C_BM_cfDNA_conc_sens_spec_byTF_updated6.png; Extended_Data_Figure_2B_BM_cfDNA_performance_byTF_plot_source_data.csv"	"PowerPoint exact local hash match confirms panel B assignment."	"confirmed"	""	"Concrete panel component resolved from PowerPoint/local hash matching. Generate mode redraws this panel from the saved manuscript performance table after preserving the original High/Low tumor-fraction filter, event ordering by High-TF concordance, event labels, metric facet labels, viridis colors, axis labels, and export dimensions. Upstream concordance/performance values are reused from the cached manuscript intermediate and are not recomputed in this panel generator."
"EDFIG2B_D_C"	"extended_data_figure"	"Extended_Data_Figure_2"	"C"	"Extended_Data_Figure_2.pdf"	"Figures_Exported/Final_Feb2026/Extended_Data_Figure_2.pdf"	"Figures_Exported/Final_Feb2026/Extended_Data_Figure_2.pdf"	"reproducible_workflow/outputs/extended_figures/Extended_Data_Figure_2.pdf"	"PowerPoint slide 8 in Revision 1 prep/cfWGS_MRD_MM_Figures_Revision1_slim.pptx (6 embedded image assets)"	"Final Tables and Figures/Baseline_concordance/Fig2B_event_concordance_with_sensitivity_updated5.png"	"Scripts_2025/Final_Scripts/2_3_Feature_Concordance_And_Mutation_Counts.R"	1606	1722	"SV/CNA concordance-with-FISH panel"	"ggsave(..., 'Fig2B_event_concordance_with_sensitivity_updated5.png')"	"SV/CNA event concordance and FISH sensitivity summaries; Extended_Data_Figure_2C_FISH_BM_cfDNA_performance_plot_source_data.csv"	"Final Tables and Figures/Baseline_concordance/FISH_BM_cfDNA_performance.rds"	"Fig2B_event_concordance_with_sensitivity_updated5.png; Extended_Data_Figure_2C_FISH_BM_cfDNA_performance_plot_source_data.csv"	"PowerPoint exact local hash match confirms panel C assignment."	"confirmed"	""	"Concrete panel component resolved from PowerPoint/local hash matching. Generate mode redraws this panel from the saved manuscript plotting table after preserving the original High/Low tumor-fraction filtering, BM High-TF event ordering, BM/cfDNA facets, event labels, viridis colors, axis labels, and export dimensions. Upstream FISH concordance values are reused from the cached manuscript intermediate and are not recomputed in this panel generator."
"EDFIG2B_D_D"	"extended_data_figure"	"Extended_Data_Figure_2"	"D"	"Extended_Data_Figure_2.pdf"	"Figures_Exported/Final_Feb2026/Extended_Data_Figure_2.pdf"	"Figures_Exported/Final_Feb2026/Extended_Data_Figure_2.pdf"	"reproducible_workflow/outputs/extended_figures/Extended_Data_Figure_2.pdf"	"PowerPoint slide 8 in Revision 1 prep/cfWGS_MRD_MM_Figures_Revision1_slim.pptx (6 embedded image assets)"	"PowerPoint-only focal 1q schematic/annotation; no local image component resolved"	"Scripts_2025/Final_Scripts/2_3_Feature_Concordance_And_Mutation_Counts.R"	1494	1705	"Focal 1q schematic/annotation"	"PowerPoint assembly element; no direct R export resolved"	"focal 1q schematic and annotation context"	"supporting CNA and FISH feature tables"	"PowerPoint image element without local source hash match"	"PowerPoint geometry identifies panel D, but no concrete local source component is resolved."	"probable"	""	"manual_assembly_required; keep explicit until the exact local source component is identified."
"EDFIG2E"	"extended_data_figure"	"Extended_Data_Figure_2"	"E"	"Extended_Data_Figure_2.pdf"	"Figures_Exported/Final_Feb2026/Extended_Data_Figure_2.pdf"	"Figures_Exported/Final_Feb2026/Extended_Data_Figure_2.pdf"	"reproducible_workflow/outputs/extended_figures/Extended_Data_Figure_2.pdf"	"PowerPoint slide 8 in Revision 1 prep/cfWGS_MRD_MM_Figures_Revision1_slim.pptx (6 embedded image assets)"	"Final Tables and Figures/Baseline_concordance/Figure2F_boxplot_with_bracket.png"	"Scripts_2025/Final_Scripts/2_3_Feature_Concordance_And_Mutation_Counts.R"	1181	1236	"Mutation-count baseline comparison"	"ggsave(..., 'Figure2F_boxplot_with_bracket.png')"	"mutation counts by compartment; Extended_Data_Figure_2E_mutation_counts_by_cohort_source_data.csv"	"Final_aggregate_table_cfWGS_features_with_clinical_and_demographics_updated9.rds; cohort_assignment_table_updated.rds"	"Figure2F_boxplot_with_bracket.png; Extended_Data_Figure_2E_mutation_counts_by_cohort_source_data.csv"	"Mutation-count panel style and source section match one ED Figure 2 panel."	"probable"	""	"PowerPoint exact local hash match confirms panel E assignment. Generate mode redraws this panel from the current aggregate baseline table after preserving the original duplicate baseline handling for CA-02, CA-03, and SPORE_0009, Frontline-to-training cohort recode, cohort colors, assay labels, Wilcoxon significance bracket, and export dimensions. No model fitting, threshold selection, or training-weight update is performed."
"EDFIG2F"	"extended_data_figure"	"Extended_Data_Figure_2"	"F"	"Extended_Data_Figure_2.pdf"	"Figures_Exported/Final_Feb2026/Extended_Data_Figure_2.pdf"	"Figures_Exported/Final_Feb2026/Extended_Data_Figure_2.pdf"	"reproducible_workflow/outputs/extended_figures/Extended_Data_Figure_2.pdf"	"PowerPoint slide 8 in Revision 1 prep/cfWGS_MRD_MM_Figures_Revision1_slim.pptx (6 embedded image assets)"	"Final Tables and Figures/Baseline_concordance/Figure2D_facetted_scatter.png"	"Scripts_2025/Final_Scripts/2_3_Feature_Concordance_And_Mutation_Counts.R"	1430	1523	"Clinical correlates of cfDNA mutation burden"	"ggsave(..., 'Figure2D_facetted_scatter.png')"	"clinical correlates and cfDNA mutation burden; Extended_Data_Figure_2F_clinical_correlates_source_data.csv; Extended_Data_Figure_2F_clinical_correlates_spearman_summary.csv"	"Final_aggregate_table_cfWGS_features_with_clinical_and_demographics_updated9.rds; cohort_assignment_table_updated.rds"	"Figure2D_facetted_scatter.png; Extended_Data_Figure_2F_clinical_correlates_source_data.csv; Extended_Data_Figure_2F_clinical_correlates_spearman_summary.csv"	"Clinical-correlates faceted scatter component maps to ED Figure 2F."	"probable"	""	"PowerPoint exact local hash match confirms panel F assignment. Generate mode redraws this panel from the current aggregate baseline table after preserving the original duplicate baseline handling for CA-02, CA-03, and SPORE_0009, Frontline-to-training cohort recode, four facet variables, Spearman complete-case correlation labels, linear dashed smooths, cohort colors, labels, and export dimensions. No model fitting, threshold selection, or training-weight update is performed."
"EDFIG2G"	"extended_data_figure"	"Extended_Data_Figure_2"	"G"	"Extended_Data_Figure_2.pdf"	"Figures_Exported/Final_Feb2026/Extended_Data_Figure_2.pdf"	"Figures_Exported/Final_Feb2026/Extended_Data_Figure_2.pdf"	"reproducible_workflow/outputs/extended_figures/Extended_Data_Figure_2.pdf"	"PowerPoint slide 8 in Revision 1 prep/cfWGS_MRD_MM_Figures_Revision1_slim.pptx (6 embedded image assets)"	"Fig3C_mutation_overlap_lollipop2_updated.png"	"Scripts_2025/Final_Scripts/1_2_Part2_Get_Mutation_Overlap.R"	447	471	"Patient-level mutation-overlap lollipop"	"ggsave(..., 'Fig3C_mutation_overlap_lollipop2_updated.png')"	"mutation overlap per patient; Extended_Data_Figure_2G_mutation_overlap_source_data.csv; Extended_Data_Figure_2G_mutation_overlap_summary.csv"	"combined_maf_bm_dx.rds; combined_maf_blood_all_muts_updated.rds; combined_clinical_data_updated_April2025.csv; cohort_assignment_table_updated.rds; id_map.rds"	"Fig3C_mutation_overlap_lollipop2_updated.png; Extended_Data_Figure_2G_mutation_overlap_source_data.csv; Extended_Data_Figure_2G_mutation_overlap_summary.csv"	"Lollipop-style mutation overlap panel maps to the patient-overlap component."	"confirmed"	""	"This is a supporting panel for baseline concordance. Generate mode rebuilds the Frontline baseline BM/cfDNA mutation-overlap lollipop from filtered mutation RDS inputs, clinical metadata, cohort assignment, and protected ID map. The original rsID filtering, baseline/diagnosis restriction, paired BM/cfDNA sample requirement, Frontline-only plotting, protected ID replacement, percent-overlap definition, median/IQR subtitle, viridis color scale, labels, and export dimensions are preserved. Per-patient Venn diagrams from the exploratory source script are not regenerated because they are not the manuscript panel. No model fitting, threshold selection, or training-weight update is performed."
"EDFIG3A"	"extended_data_figure"	"Extended_Data_Figure_3"	"A"	"Extended_Data_Figure_3.pdf"	"Figures_Exported/Final_Feb2026/Extended_Data_Figure_3.pdf"	"Figures_Exported/Final_Feb2026/Extended_Data_Figure_3.pdf"	"reproducible_workflow/outputs/extended_figures/Extended_Data_Figure_3.pdf"	"PowerPoint slide 9 in Revision 1 prep/cfWGS_MRD_MM_Figures_Revision1_slim.pptx (3 embedded image assets)"	"Extended_Data_Figure_3A_all_evaluable_BM_raw_longitudinal.png"	"Scripts_2025/Final_Scripts/2_4B_Build_all_evaluable_longitudinal_panels.R"	2440	2641	"All-evaluable longitudinal panel export"	"ggsave(..., 'Extended_Data_Figure_3A_all_evaluable_BM_raw_longitudinal.png'); ms_copy_artifact(...)"	"all-evaluable longitudinal plotting data and panel objects"	"Final_aggregate_table_cfWGS_features_with_clinical_and_demographics_updated9.rds; cohort_assignment_table_updated.rds; baseline_high_quality_patients_updated.csv; Exported_data_tables_clinical/Censor_dates_per_patient_for_PFS_updated.rds"	"Extended_Data_Figure_3A_all_evaluable_BM_raw_longitudinal.png; matching source-data CSV"	"Current export call and artifact registration in 2_4B identify this panel."	"confirmed"	""	"The script writes the individual panel and source data. Final multi-panel assembly is performed separately."
"EDFIG3B"	"extended_data_figure"	"Extended_Data_Figure_3"	"B"	"Extended_Data_Figure_3.pdf"	"Figures_Exported/Final_Feb2026/Extended_Data_Figure_3.pdf"	"Figures_Exported/Final_Feb2026/Extended_Data_Figure_3.pdf"	"reproducible_workflow/outputs/extended_figures/Extended_Data_Figure_3.pdf"	"PowerPoint slide 9 in Revision 1 prep/cfWGS_MRD_MM_Figures_Revision1_slim.pptx (3 embedded image assets)"	"Extended_Data_Figure_3B_all_evaluable_blood_raw_longitudinal.png"	"Scripts_2025/Final_Scripts/2_4B_Build_all_evaluable_longitudinal_panels.R"	2440	2641	"All-evaluable longitudinal panel export"	"ggsave(..., 'Extended_Data_Figure_3B_all_evaluable_blood_raw_longitudinal.png'); ms_copy_artifact(...)"	"all-evaluable longitudinal plotting data and panel objects"	"Final_aggregate_table_cfWGS_features_with_clinical_and_demographics_updated9.rds; cohort_assignment_table_updated.rds; baseline_high_quality_patients_updated.csv; Exported_data_tables_clinical/Censor_dates_per_patient_for_PFS_updated.rds"	"Extended_Data_Figure_3B_all_evaluable_blood_raw_longitudinal.png; matching source-data CSV"	"Current export call and artifact registration in 2_4B identify this panel."	"confirmed"	""	"The script writes the individual panel and source data. Final multi-panel assembly is performed separately."
"EDFIG3C"	"extended_data_figure"	"Extended_Data_Figure_3"	"C"	"Extended_Data_Figure_3.pdf"	"Figures_Exported/Final_Feb2026/Extended_Data_Figure_3.pdf"	"Figures_Exported/Final_Feb2026/Extended_Data_Figure_3.pdf"	"reproducible_workflow/outputs/extended_figures/Extended_Data_Figure_3.pdf"	"PowerPoint slide 9 in Revision 1 prep/cfWGS_MRD_MM_Figures_Revision1_slim.pptx (3 embedded image assets)"	"Extended_Data_Figure_3C_all_evaluable_fragmentomics_longitudinal.png"	"Scripts_2025/Final_Scripts/2_4B_Build_all_evaluable_longitudinal_panels.R"	2440	2641	"All-evaluable longitudinal panel export"	"ggsave(..., 'Extended_Data_Figure_3C_all_evaluable_fragmentomics_longitudinal.png'); ms_copy_artifact(...)"	"all-evaluable longitudinal plotting data and panel objects"	"Final_aggregate_table_cfWGS_features_with_clinical_and_demographics_updated9.rds; cohort_assignment_table_updated.rds; baseline_high_quality_patients_updated.csv; Exported_data_tables_clinical/Censor_dates_per_patient_for_PFS_updated.rds"	"Extended_Data_Figure_3C_all_evaluable_fragmentomics_longitudinal.png; matching source-data CSV"	"Current export call and artifact registration in 2_4B identify this panel."	"confirmed"	""	"The script writes the individual panel and source data. Final multi-panel assembly is performed separately."
"EDFIG3D"	"extended_data_figure"	"Extended_Data_Figure_3"	"D"	"Extended_Data_Figure_3.pdf"	"Figures_Exported/Final_Feb2026/Extended_Data_Figure_3.pdf"	"Figures_Exported/Final_Feb2026/Extended_Data_Figure_3.pdf"	"reproducible_workflow/outputs/extended_figures/Extended_Data_Figure_3.pdf"	"Final multi-panel assembly is performed separately from the analysis scripts."	"final_manuscript_objects/02_extended_data_figures/Extended_Data_Figure_3/Extended_Data_Figure_3D/Extended_Data_Figure_3D_MRDetect_raw_platform_shift.png"	"Scripts_2025/Final_Scripts/1_8D_Build_ED3DE_MRDetect_Platform_Calibration.R"	102	509	"Paired raw MRDetect healthy-control platform shift"	"save_plot(panel_d, ...); write_csv(panel_d_source, ...)"	"panel_d_source; panel_d_stats; panel_d"	"MRDetect platform-calibration tables written by 1_8C"	"Extended_Data_Figure_3D_MRDetect_raw_platform_shift.png; Extended_Data_Figure_3D_source_data.csv; Extended_Data_Figure_3D_statistics.csv"	"Current script exports panel D and its source/statistics tables."	"confirmed"	""	"Nineteen paired control identities; each displayed identity-level value is the median across eight baseline or diagnosis VCF panels."
"EDFIG3E"	"extended_data_figure"	"Extended_Data_Figure_3"	"E"	"Extended_Data_Figure_3.pdf"	"Figures_Exported/Final_Feb2026/Extended_Data_Figure_3.pdf"	"Figures_Exported/Final_Feb2026/Extended_Data_Figure_3.pdf"	"reproducible_workflow/outputs/extended_figures/Extended_Data_Figure_3.pdf"	"Final multi-panel assembly is performed separately from the analysis scripts."	"final_manuscript_objects/02_extended_data_figures/Extended_Data_Figure_3/Extended_Data_Figure_3E/Extended_Data_Figure_3E_MRDetect_platform_matched_zscores.png"	"Scripts_2025/Final_Scripts/1_8D_Build_ED3DE_MRDetect_Platform_Calibration.R"	170	509	"MRDetect platform-matched z-score calibration"	"save_plot(panel_e, ...); write_csv(panel_e_source, ...)"	"panel_e_source; panel_e_stats; panel_e"	"MRDetect platform-calibration tables written by 1_8C"	"Extended_Data_Figure_3E_MRDetect_platform_matched_zscores.png; Extended_Data_Figure_3E_source_data.csv; Extended_Data_Figure_3E_statistics.csv"	"Current script exports panel E and its source/statistics tables."	"confirmed"	""	"The display contains control-by-VCF observations; paired inference uses one summary per control identity, n = 19."
"EDFIG3F"	"extended_data_figure"	"Extended_Data_Figure_3"	"F"	"Extended_Data_Figure_3.pdf"	"Figures_Exported/Final_Feb2026/Extended_Data_Figure_3.pdf"	"Figures_Exported/Final_Feb2026/Extended_Data_Figure_3.pdf"	"reproducible_workflow/outputs/extended_figures/Extended_Data_Figure_3.pdf"	"Final multi-panel assembly is performed separately from the analysis scripts."	"final_manuscript_objects/02_extended_data_figures/Extended_Data_Figure_3/Extended_Data_Figure_3F/Extended_Data_Figure_3F_fragmentomics_raw_platform_shift.png"	"Scripts_2025/Final_Scripts/1_8E_Build_ED3FG_Fragmentomics_Platform_Calibration.R"	88	635	"Paired raw fragmentomics healthy-control platform shift"	"save_plot(panel_f, ...); write_csv(panel_f_source, ...)"	"panel_f_source; panel_f_stats; panel_f"	"Fragmentomics platform-comparison outputs written by 1_7D and the regulatory-coverage RDS"	"Extended_Data_Figure_3F_fragmentomics_raw_platform_shift.png; Extended_Data_Figure_3F_source_data.csv; Extended_Data_Figure_3F_statistics.csv"	"Current script exports panel F and its source/statistics tables."	"confirmed"	""	"Nineteen identity-matched healthy controls; P values across three features are adjusted by Benjamini-Hochberg."
